"id","videoId","titulo","canal","clase","vistas","grado","betweenness","closeness","comunidad"
"63","RFEH5MislVA","Rompiendo el Tabú:  Desafíos de la Salud Mental en la Industria Marítima.","Otro","Informal",3,8,11,0.074943819407873,8
"64","Re-zhdNR4Qs","Hablemos de salud mental en el aula","Otro","Informal",4610,5,0,0.00743968940112099,1
"65","RkFitZU6SKQ","Hablemos de Salud Mental","Otro","Informal",13313,7,1.16666666666667,0.14334833669579,6
"66","S4FaTE7ybpA","FIKA UNAD VITAL :Cuidando a los cuidadores: Salud mental de los y las cuidadoras de adultos mayores.","Otro","Informal",0,5,0,0.00743968940112099,1
"67","SRHzVrmQtys","Salmo para proteger tu paz y salud mental #freddydeanda #shorts","Otro","Informal",589565,5,0,0.00743968940112099,1
"68","Sk92EJURWNE","¿Que sabes de la salud mental?","Otro","Informal",8847,7,0,0.0219763841236299,3
"69","T3HnPeZPj4c","PREVENCIÓN Y AUTOCUIDADO EN SALUD MENTAL","Otro","Informal",38,5,0,0.00743968940112099,1
"70","UPSM5YEzqXs","SALUD MENTAL en MEXICO - Ruido Social","Otro","Informal",498333,5,0,0.00743968940112099,1
"71","Uq3WkAlpMWE","Viernes Q&amp;A. #TID","Otro","Informal",671,6,0,0.0198610464714956,7
"72","V-2Lugivnic","NO te castigues más | Mario Alonso Puig | Palabras Que Sanan","Otro","Informal",753,6,1,0.0859483757863843,5
"73","VrT-WDSO1no","Día mundial de la Salud Mental","Otro","Informal",11189,9,1.33333333333333,0.11527772402473,5
"74","Vv82mLWbkaU","CLAVES PARA LA #SALUDMENTAL. Cómo hacer que te pasen cosas buenas! @marian-rojas","Otro","Informal",182372,5,0,0.0962880740433625,5
"75","WNUmBLZyHw0","El estigma en salud mental","Otro","Informal",3187,5,0,0.00743968940112099,1
"76","WjZyfWflNyo","¿Quieres recuperar tu salud FISICA Y MENTAL? Sólo el 1% sabe esto - Dra. Marian Rojas Estapé.","Otro","Informal",66148,9,1.66666666666667,0.0824562097044722,8
"77","WzEL-apOddM","#56 Salud mental en niños y adolescentes, con el Dr. Roberto Chaskel","Otro","Informal",9236,5,0,0.00743968940112099,1
